"conquistas_totais","nota_pessoal","genero","name","publisher","desenvolvedor","interesse","appid","tipo_cadastro","descricao","img_icon_url","playtime_forever","status","conquistas_obtidas","data_compra","horas_jogadas","target_finalizado","is_endless","log_playtime","playtime_narrative","log_playtime_narrative","genero_list","gen_","gen_Acesso Antecipado","gen_Aventura","gen_Ação","gen_Casual","gen_Corrida","gen_Esportes","gen_Estratégia","gen_Gratuitos para Jogar","gen_Indie","gen_Multijogador Massivo","gen_RPG","gen_Simulação"
0,0,"Corrida, Simulação, Acesso Antecipado","BeamNG.drive","BeamNG","BeamNG","Médio",284160,"Steam","Um simulador dinâmico de veículos de física de corpos flexíveis capaz de fazer praticamente qualquer coisa.","34f8997c32b2f463caf2014aab4a95109a896ecc",1581,"Não Iniciado",0,0,0,0,0,7.366445148327599,1581,7.366445148327599,"['Corrida', 'Simulação', 'Acesso Antecipado']",0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,"Ação","Metro 2033 Redux","Deep Silver","4A Games","Médio",286690,"Steam","In 2013 the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the Earth's surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age. The year is 2033.","353ea01a045c084215bca95519808eaa7319ce0c",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Ação, Indie, Gratuitos para Jogar","Brawlhalla","Ubisoft","Blue Mammoth Games","Médio",291550,"Steam","An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android &amp; Steam! Frequent updates. Over sixty Legends.","c43fac31b8bf8821764603a14d09412bc3d45f66",68,"Não Iniciado",0,0,0,0,0,4.23410650459726,68,4.23410650459726,"['Ação', 'Indie', 'Gratuitos para Jogar']",0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,"Ação, Aventura, Casual, Indie, Gratuitos para Jogar","Unturned","Smartly Dressed Games","Smartly Dressed Games","Médio",304930,"Steam","Você é um sobrevivente no que sobrou da sociedade após uma infestação zumbi e deverá trabalhar com amigos e forjar alianças para continuar entre os vivos.","e18009fb628b35953826efe47dc3be556b689f4c",20,"Não Iniciado",0,0,0,0,0,3.044522437723423,20,3.044522437723423,"['Ação', 'Aventura', 'Casual', 'Indie', 'Gratuitos para Jogar']",0,0,1,1,1,0,0,0,1,1,0,0,0
0,0,"","Battlefield™ 6 Open Beta",0,0,"Médio",3081410,"Steam","","575dad25afc50972728d2b85cccb4f6093ebe175",78,"Não Iniciado",0,0,0,0,0,4.3694478524670215,78,4.3694478524670215,"['']",1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"Ação, Aventura, Indie","PEAK","Aggro Crab, Landfall","Team PEAK","Médio",3527290,"Steam","PEAK é um jogo cooperativo de escalada onde o menor erro pode custar a sua vida. Sozinho ou em grupo, sua única esperança de resgate em uma ilha misteriosa é escalar a montanha no seu centro. Você tem o que é preciso para chegar ao PICO?","b3a992fd5991bd2f4c956d58e062b0ce2988d6cd",654,"Não Iniciado",0,0,0,0,0,6.484635235635252,654,6.484635235635252,"['Ação', 'Aventura', 'Indie']",0,0,1,1,0,0,0,0,0,1,0,0,0
0,0,"Ação, Aventura, Casual, Multijogador Massivo, RPG, Estratégia, Gratuitos para Jogar","SMITE","Hi-Rez Studios","Titan Forge Games","Médio",386360,"Steam","Junte-se a mais de 40 milhões de jogadores em SMITE, o campo de batalha dos deuses. Erga o martelo de Thor, transforme seus inimigos em estátua como a Medusa, ou escolha entre outros mais de 100 personagens icônicos da mitologia. Torne-se um deus e jogue SMITE GRÁTIS hoje mesmo!","7ed9de7bbfab9accb81e47b84943e7478baf2f3a",17976,"Não Iniciado",0,0,0,0,0,9.796848442046416,17976,9.796848442046416,"['Ação', 'Aventura', 'Casual', 'Multijogador Massivo', 'RPG', 'Estratégia', 'Gratuitos para Jogar']",0,0,1,1,1,0,0,1,1,0,1,1,0
0,0,"Indie, RPG, Simulação","Stardew Valley","ConcernedApe","ConcernedApe","Médio",413150,"Steam","Você herdou a antiga fazenda do seu avô, em Stardew Valley. Com ferramentas de segunda-mão e algumas moedas, você parte para dar início a sua nova vida. Será que você vai aprender a viver da terra, a transformar esse matagal em um próspero lar?","35d1377200084a4034238c05b0c8930451e2fb40",1791,"Não Iniciado",0,0,0,0,0,7.491087593534876,1791,7.491087593534876,"['Indie', 'RPG', 'Simulação']",0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,"Aventura","Little Nightmares","BANDAI NAMCO Entertainment","Tarsier Studios","Médio",424840,"Steam","Mergulhe em Little Nightmares, um fantástico conto sombrio que o fará enfrentar seus medos de infância! Ajude Six a fugir de A Bocarra – um navio imenso e misterioso habitado por almas corrompidas que procuram sua próxima refeição.","1904c041f963b5e2cb22b56c370444517cc4e288",19,"Não Iniciado",0,0,0,0,0,2.995732273553991,19,2.995732273553991,"['Aventura']",0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,"Ação, Aventura, Indie, Simulação, Estratégia","Ultimate Epic Battle Simulator","Brilliant Game Studios","Brilliant Game Studios","Médio",616560,"Steam","Here is a sandbox like no other. Create massive battles with absolutely no limits. Want to see 10,000 chickens fight an army of Romans?? Sure, why not. Want to see a company of WW2 U.S soldiers fight 11,000 Medieval soldiers?? There are simply no limits to the carnage you can achieve in UEBS.","808ec0919be68550c107fc513522633dc7656885",26,"Não Iniciado",0,0,0,0,0,3.295836866004329,26,3.295836866004329,"['Ação', 'Aventura', 'Indie', 'Simulação', 'Estratégia']",0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,"Corrida, Simulação, Esportes","DiRT Rally 2.0","Codemasters, Electronic Arts","Codemasters","Médio",690790,"Steam","DiRT Rally 2.0 te desafia a percorrer várias pistas de rali icônicas ao redor do mundo, nos veículos off-road mais potentes já feitos, sabendo que o menor erro pode acabar com sua fase.","bd4cc20090b66b8e5a992a1ab67e3de0bef177da",584,"Não Iniciado",0,0,0,0,0,6.371611847231857,584,6.371611847231857,"['Corrida', 'Simulação', 'Esportes']",0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,"Ação","Sonic Generations","SEGA","Devil's Details","Médio",71340,"Steam","Celebrate 20 years of Sonic in an all new adventure that delivers a definitive experience to Sonic fans new and old!","efda039147f0968bc726c547ff3809f98b69964a",1,"Não Iniciado",0,0,0,0,0,0.6931471805599453,1,0.6931471805599453,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Ação, Aventura, Casual, Indie, Simulação, Gratuitos para Jogar","Aimlabs","Statespace","Statespace","Médio",714010,"Steam","O melhor treinamento para jogos FPS/TPS: Aim Lab combina monitoramento e análises de desempenho de última geração com aprendizagem de máquina para que você fique melhor mais rápido.","15347de11efc127539c388e585af9e92d10d5189",3136,"Não Iniciado",0,0,0,0,0,8.051022208190679,3136,8.051022208190679,"['Ação', 'Aventura', 'Casual', 'Indie', 'Simulação', 'Gratuitos para Jogar']",0,0,1,1,1,0,0,0,1,1,0,0,1
0,0,"Ação, Gratuitos para Jogar","Counter-Strike 2","Valve","Valve","Médio",730,"Steam","Há mais de duas décadas, o Counter-Strike oferece uma experiência competitiva de elite moldada por milhões de jogadores mundialmente. Agora, o próximo capítulo da história do CS vai começar. Isso é Counter-Strike 2.","8dbc71957312bbd3baea65848b545be9eae2a355",4370,"Não Iniciado",0,0,0,0,0,8.382747094863314,4370,8.382747094863314,"['Ação', 'Gratuitos para Jogar']",0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,"Ação","Resident Evil 2","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Médio",883710,"Steam","Um vírus maligno toma conta dos residentes de Raccoon City em setembro de 1998, afundando a cidade no caos enquanto zumbis comedores de carne humana vagam pelas ruas em busca de sobreviventes. Um surto de adrenalina sem comparação, uma história instigante e horrores inimagináveis o aguardam.","86ef2fdebeced746313994ccf2d7afb1f2887bf0",1155,"Não Iniciado",0,0,0,0,0,7.052721049232323,1155,7.052721049232323,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Casual","Among Us","Innersloth","Innersloth","Médio",945360,"Steam","Um jogo de trabalho em equipe e trairagem online ou em rede local para 4 a 15 jogadores... no espaço!","b82c3f46da8f3c918e1c9e0d18bd6fa8fcef6801",289,"Não Iniciado",0,0,0,0,0,5.66988092298052,289,5.66988092298052,"['Casual']",0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,"Ação","Resident Evil 3","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Médio",952060,"Steam","Jill Valentine é uma das últimas pessoas em Raccoon City a testemunhar as atrocidades que a Umbrella cometeu. Para pará-la a Umbrella libera sua arma secreta suprema: Nemesis! Também inclui a Resident Evil Resistance, um novo modo de jogo multijogador online 4x1.","136b7a39787b0d8df93cf3b757c36ae1eb392784",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,"Ação","RESIDENT EVIL RESISTANCE","CAPCOM Co., Ltd.","CAPCOM Co., Ltd., NeoBards Entertainment Ltd.","Médio",952070,"Steam","Vivencie um novo modo de jogo multijogador online 4x1 no universo Resident Evil, onde quatro Sobreviventes enfrentam um sinistro Vilão.","05c0148e8e414361742c38e3709ca9cdd9c637a8",0,"Não Iniciado",0,0,0,0,0,0.0,0,0.0,"['Ação']",0,0,0,1,0,0,0,0,0,0,0,0,0
